name,version,install_command,release_date,release_year,old_version,old_release_date,old_release_year,url
jinja2-simple-tags,0.5.0,pip install jinja2-simple-tags,2023-06-07,2023,0.1.0,2020-07-07,2020,https://pypi.org/project/jinja2-simple-tags/
docx2txt,0.8,pip install docx2txt,2019-06-23,2019,0.1,2015-10-28,2015,https://pypi.org/project/docx2txt/
python-openstackclient,6.2.0,pip install python-openstackclient,2023-03-09,2023,0.1.51,2012-06-30,2012,https://pypi.org/project/python-openstackclient/
dotmap,1.3.30,pip install dotmap,2022-04-06,2022,1.0,2015-08-12,2015,https://pypi.org/project/dotmap/
pysimdjson,5.0.2,pip install pysimdjson,2022-09-12,2022,1.0,2019-02-22,2019,https://pypi.org/project/pysimdjson/
pep562,1.1,pip install pep562,2021-05-21,2021,1.0b1,2018-10-26,2018,https://pypi.org/project/pep562/
janus,1.0.0,pip install janus,2021-12-17,2021,0.0.1,2015-06-11,2015,https://pypi.org/project/janus/
furo,2023.8.19,pip install furo,2023-08-18,2023,2020.8.14b5,2020-09-14,2020,https://pypi.org/project/furo/
aiocontextvars,0.2.2,pip install aiocontextvars,2019-04-08,2019,0.1.0,2017-12-03,2017,https://pypi.org/project/aiocontextvars/
gluonts,0.13.3,pip install gluonts,2023-08-07,2023,0,2021-11-11,2021,https://pypi.org/project/gluonts/
phonetics,1.0.5,pip install phonetics,2018-03-23,2018,1.0.0,2017-03-28,2017,https://pypi.org/project/phonetics/
azure-monitor-query,1.2.0,pip install azure-monitor-query,2023-05-09,2023,1.0.0b1,2021-06-10,2021,https://pypi.org/project/azure-monitor-query/
types-croniter,1.4.0.1,pip install types-croniter,2023-07-20,2023,0.1.0,2021-02-02,2021,https://pypi.org/project/types-croniter/
deep-translator,1.11.4,pip install deep-translator,2023-06-28,2023,0.0.1,2020-06-05,2020,https://pypi.org/project/deep-translator/
azure-storage-logging,0.5.1,pip install azure-storage-logging,2016-10-09,2016,0.1.0,2013-12-11,2013,https://pypi.org/project/azure-storage-logging/
types-Flask,1.1.6,pip install types-Flask,2021-11-26,2021,0.1.0,2021-02-02,2021,https://pypi.org/project/types-Flask/
azureml-train,1.52.0,pip install azureml-train,2023-06-26,2023,0.1.57,2018-09-19,2018,https://pypi.org/project/azureml-train/
pythonping,1.1.4,pip install pythonping,2022-10-25,2022,0.1,2018-03-24,2018,https://pypi.org/project/pythonping/
assertpy,1.1,pip install assertpy,2020-07-19,2020,0.5,2015-02-01,2015,https://pypi.org/project/assertpy/
sqlfluff-templater-dbt,2.3.0,pip install sqlfluff-templater-dbt,2023-08-14,2023,0.7.0a2,2021-10-10,2021,https://pypi.org/project/sqlfluff-templater-dbt/
pip-licenses,4.3.2,pip install pip-licenses,2023-05-21,2023,0.1.0,2018-02-05,2018,https://pypi.org/project/pip-licenses/
django-webpack-loader,2.0.1,pip install django-webpack-loader,2023-06-14,2023,0.0.2,2015-05-16,2015,https://pypi.org/project/django-webpack-loader/
flake8-bandit,4.1.1,pip install flake8-bandit,2022-08-29,2022,0.1.0,2017-10-28,2017,https://pypi.org/project/flake8-bandit/
Flask-Script,2.0.6,pip install Flask-Script,2017-09-06,2017,0.1,2010-07-09,2010,https://pypi.org/project/Flask-Script/
nbsphinx,0.9.2,pip install nbsphinx,2023-05-24,2023,0.0.0,2015-11-29,2015,https://pypi.org/project/nbsphinx/
PyRTF3,0.47.5,pip install PyRTF3,2017-05-19,2017,0.46,2016-12-17,2016,https://pypi.org/project/PyRTF3/
python-keycloak,3.3.0,pip install python-keycloak,2023-06-27,2023,0.0.0,2022-05-19,2022,https://pypi.org/project/python-keycloak/
bitstruct,8.17.0,pip install bitstruct,2023-02-17,2023,1.0.0,2015-05-09,2015,https://pypi.org/project/bitstruct/
pyairtable,2.1.0.post1,pip install pyairtable,2023-08-18,2023,1.0.0.dev1,2021-08-08,2021,https://pypi.org/project/pyairtable/
uptime,3.0.1,pip install uptime,2013-10-07,2013,1.0.0,2013-01-20,2013,https://pypi.org/project/uptime/
device-detector,5.0.1,pip install device-detector,2021-12-23,2021,0.2,2018-06-29,2018,https://pypi.org/project/device-detector/
httmock,1.4.0,pip install httmock,2020-10-28,2020,1.0,2013-04-05,2013,https://pypi.org/project/httmock/
pylru,1.2.1,pip install pylru,2022-03-06,2022,1.0.2,2011-07-11,2011,https://pypi.org/project/pylru/
opendatalab,0.0.10,pip install opendatalab,2023-08-02,2023,0.0.2,2022-08-31,2022,https://pypi.org/project/opendatalab/
Flask-OAuthlib,0.9.6,pip install Flask-OAuthlib,2020-09-07,2020,0.1.0,2013-05-16,2013,https://pypi.org/project/Flask-OAuthlib/
libsass,0.22.0,pip install libsass,2022-11-12,2022,0.1.0,2012-08-17,2012,https://pypi.org/project/libsass/
grapheme,0.6.0,pip install grapheme,2020-03-07,2020,0.1.0.dev0,2017-07-25,2017,https://pypi.org/project/grapheme/
Parsley,1.3,pip install Parsley,2015-09-09,2015,1.0,2012-10-02,2012,https://pypi.org/project/Parsley/
ddt,1.6.0,pip install ddt,2022-08-10,2022,0.1.0,2012-02-11,2012,https://pypi.org/project/ddt/
stdlib-list,0.9.0,pip install stdlib-list,2023-06-22,2023,0.0.1,2015-03-05,2015,https://pypi.org/project/stdlib-list/
plaster,1.1.2,pip install plaster,2022-11-21,2022,0.1.0,2016-06-11,2016,https://pypi.org/project/plaster/
mdxpy,1.3.2,pip install mdxpy,2023-08-07,2023,0.1,2020-04-25,2020,https://pypi.org/project/mdxpy/
sigmatools,0.23.1,pip install sigmatools,2023-04-15,2023,0.1,2017-12-08,2017,https://pypi.org/project/sigmatools/
plaster-pastedeploy,1.0.1,pip install plaster-pastedeploy,2022-11-07,2022,0.1,2017-03-28,2017,https://pypi.org/project/plaster-pastedeploy/
stomp.py,8.1.0,pip install stomp.py,2022-10-29,2022,2.0.1,2009-07-14,2009,https://pypi.org/project/stomp.py/
pytest-pythonpath,0.7.4,pip install pytest-pythonpath,2022-02-10,2022,0.1,2014-02-06,2014,https://pypi.org/project/pytest-pythonpath/
whichcraft,0.6.1,pip install whichcraft,2019-09-06,2019,0.1.0,2015-09-10,2015,https://pypi.org/project/whichcraft/
TM1py,1.11.3,pip install TM1py,2023-05-23,2023,0.0.2,2017-08-08,2017,https://pypi.org/project/TM1py/
praat-parselmouth,0.4.3,pip install praat-parselmouth,2022-12-24,2022,0.1.0,2017-06-11,2017,https://pypi.org/project/praat-parselmouth/
google-cloud-iam,2.12.1,pip install google-cloud-iam,2023-07-05,2023,0.1.0,2018-12-13,2018,https://pypi.org/project/google-cloud-iam/
types-chardet,5.0.4.6,pip install types-chardet,2023-05-10,2023,0.1.0,2021-02-02,2021,https://pypi.org/project/types-chardet/
psycogreen,1.0.2,pip install psycogreen,2020-02-22,2020,0.0.1,2011-12-01,2011,https://pypi.org/project/psycogreen/
apache-airflow-providers-atlassian-jira,2.1.1,pip install apache-airflow-providers-atlassian-jira,2023-06-23,2023,1.0.0rc1,2022-09-28,2022,https://pypi.org/project/apache-airflow-providers-atlassian-jira/
cyksuid,2.0.2,pip install cyksuid,2022-10-14,2022,0.0.1,2017-06-26,2017,https://pypi.org/project/cyksuid/
jstyleson,0.0.2,pip install jstyleson,2016-06-21,2016,0.0.1,2016-06-20,2016,https://pypi.org/project/jstyleson/
radon,6.0.1,pip install radon,2023-03-26,2023,0.1,2012-09-14,2012,https://pypi.org/project/radon/
fairseq,0.12.2,pip install fairseq,2022-06-27,2022,0.6.1,2019-02-09,2019,https://pypi.org/project/fairseq/
z3-solver,4.12.2.0,pip install z3-solver,2023-05-12,2023,4.4.2.1,2016-10-11,2016,https://pypi.org/project/z3-solver/
args,0.1.0,pip install args,2012-05-08,2012,0,2012-05-08,2012,https://pypi.org/project/args/
soda-core-spark-df,3.0.48,pip install soda-core-spark-df,2023-08-11,2023,3.0.0rc1,2022-06-09,2022,https://pypi.org/project/soda-core-spark-df/
dagster-spark,0.20.7,pip install dagster-spark,2023-08-18,2023,0.4.0rc2,2019-04-17,2019,https://pypi.org/project/dagster-spark/
p4python,2023.1.2454917,pip install p4python,2023-06-15,2023,1.0,2007-06-29,2007,https://pypi.org/project/p4python/
pytest-watch,4.2.0,pip install pytest-watch,2018-05-20,2018,0.1.0,2015-01-12,2015,https://pypi.org/project/pytest-watch/
open3d,0.17.0,pip install open3d,2023-03-14,2023,0.8.0.0,2019-09-06,2019,https://pypi.org/project/open3d/
flake8-commas,2.1.0,pip install flake8-commas,2021-10-13,2021,0.1.0,2015-12-16,2015,https://pypi.org/project/flake8-commas/
IMAPClient,2.3.1,pip install IMAPClient,2022-07-09,2022,0.3,2007-10-16,2007,https://pypi.org/project/IMAPClient/
rustworkx,0.13.1,pip install rustworkx,2023-07-31,2023,0.12.0,2022-10-07,2022,https://pypi.org/project/rustworkx/
pytest-lazy-fixture,0.6.3,pip install pytest-lazy-fixture,2020-02-01,2020,0.2.0,2016-11-24,2016,https://pypi.org/project/pytest-lazy-fixture/
openshift,0.13.2,pip install openshift,2023-07-25,2023,0.0.1,2017-04-27,2017,https://pypi.org/project/openshift/
starsessions,2.1.2,pip install starsessions,2023-06-05,2023,1.0.0,2021-06-24,2021,https://pypi.org/project/starsessions/
mando,0.7.1,pip install mando,2022-02-24,2022,0.1,2013-12-02,2013,https://pypi.org/project/mando/
lifelines,0.27.7,pip install lifelines,2023-05-01,2023,0.2.0,2013-12-10,2013,https://pypi.org/project/lifelines/
west,1.1.0,pip install west,2023-06-04,2023,0.1.0,2018-09-11,2018,https://pypi.org/project/west/
acryl-datahub-airflow-plugin,0.10.5.5,pip install acryl-datahub-airflow-plugin,2023-08-04,2023,0.8.35.6,2022-05-26,2022,https://pypi.org/project/acryl-datahub-airflow-plugin/
restructuredtext-lint,1.4.0,pip install restructuredtext-lint,2022-02-24,2022,0.1.0,2013-11-22,2013,https://pypi.org/project/restructuredtext-lint/
patool,1.12,pip install patool,2016-01-17,2016,0.5,2010-03-04,2010,https://pypi.org/project/patool/
alchemy-mock,0.4.3,pip install alchemy-mock,2019-11-05,2019,0.1.0,2018-01-12,2018,https://pypi.org/project/alchemy-mock/
rpyc,5.3.1,pip install rpyc,2023-02-22,2023,3.2.0,2011-09-30,2011,https://pypi.org/project/rpyc/
DataProperty,1.0.1,pip install DataProperty,2023-07-16,2023,0.1.0,2016-02-20,2016,https://pypi.org/project/DataProperty/
python-semantic-release,8.0.7,pip install python-semantic-release,2023-08-16,2023,0.1.0,2015-07-27,2015,https://pypi.org/project/python-semantic-release/
jinja2_pluralize,0.3.0,pip install jinja2_pluralize,2015-10-09,2015,0.1.0,2014-04-25,2014,https://pypi.org/project/jinja2_pluralize/
codeguru-profiler-agent,1.2.4,pip install codeguru-profiler-agent,2021-09-14,2021,1.0.0,2020-12-03,2020,https://pypi.org/project/codeguru-profiler-agent/
django-formtools,2.4.1,pip install django-formtools,2023-05-13,2023,1.0,2015-03-31,2015,https://pypi.org/project/django-formtools/
types-pkg-resources,0.1.3,pip install types-pkg-resources,2021-06-17,2021,0.1.0,2021-02-02,2021,https://pypi.org/project/types-pkg-resources/
flake8-debugger,4.1.2,pip install flake8-debugger,2022-04-30,2022,1.1,2014-06-30,2014,https://pypi.org/project/flake8-debugger/
gcloud-aio-bigquery,6.3.0,pip install gcloud-aio-bigquery,2023-03-21,2023,0.0.0,2017-10-19,2017,https://pypi.org/project/gcloud-aio-bigquery/
robotframework-stacktrace,0.4.1,pip install robotframework-stacktrace,2021-07-12,2021,0.0.2,2021-06-01,2021,https://pypi.org/project/robotframework-stacktrace/
about-time,4.2.1,pip install about-time,2022-12-21,2022,1.0.0,2018-08-21,2018,https://pypi.org/project/about-time/
pygerduty,0.38.3,pip install pygerduty,2020-04-22,2020,0.1,2012-12-12,2012,https://pypi.org/project/pygerduty/
flake8-broken-line,1.0.0,pip install flake8-broken-line,2023-05-31,2023,0.1.0,2018-09-30,2018,https://pypi.org/project/flake8-broken-line/
importlib,1.0.4,pip install importlib,2016-08-31,2016,1.0,2009-02-03,2009,https://pypi.org/project/importlib/
types-aiofiles,23.2.0.0,pip install types-aiofiles,2023-08-16,2023,0.1.0,2021-02-02,2021,https://pypi.org/project/types-aiofiles/
boto-session-manager,1.5.4,pip install boto-session-manager,2023-07-10,2023,0.0.1,2022-04-27,2022,https://pypi.org/project/boto-session-manager/
pytest-nunit,1.0.3,pip install pytest-nunit,2022-10-20,2022,0.0.1,2019-07-07,2019,https://pypi.org/project/pytest-nunit/
sphinx-argparse,0.4.0,pip install sphinx-argparse,2022-11-11,2022,0.1.0,2013-09-05,2013,https://pypi.org/project/sphinx-argparse/
leb128,1.0.5,pip install leb128,2023-02-13,2023,1.0.0,2020-04-18,2020,https://pypi.org/project/leb128/
opentelemetry-instrumentation-psycopg2,0.40b0,pip install opentelemetry-instrumentation-psycopg2,2023-07-13,2023,0.12b0,2020-08-14,2020,https://pypi.org/project/opentelemetry-instrumentation-psycopg2/
pyobjc-framework-Quartz,9.2,pip install pyobjc-framework-Quartz,2023-06-07,2023,2.2b1,2009-03-08,2009,https://pypi.org/project/pyobjc-framework-Quartz/
iso-639,0.4.5,pip install iso-639,2016-04-29,2016,0.4.2,2015-07-03,2015,https://pypi.org/project/iso-639/
titlecase,2.4,pip install titlecase,2022-08-15,2022,0.4,2009-07-24,2009,https://pypi.org/project/titlecase/
oauth2,1.9.0.post1,pip install oauth2,2015-09-12,2015,1.0.0,2009-10-21,2009,https://pypi.org/project/oauth2/
lkml,1.3.1,pip install lkml,2022-10-25,2022,0.0.1,2019-06-26,2019,https://pypi.org/project/lkml/
config,0.5.1,pip install config,2021-09-11,2021,0.3,2004-11-03,2004,https://pypi.org/project/config/
importlab,0.8,pip install importlab,2022-09-22,2022,0.1.0,2018-05-14,2018,https://pypi.org/project/importlab/
bravado-core,6.1.0,pip install bravado-core,2023-07-19,2023,0.1.0,2015-05-11,2015,https://pypi.org/project/bravado-core/
autograd-gamma,0.5.0,pip install autograd-gamma,2020-10-15,2020,0.1,2019-07-06,2019,https://pypi.org/project/autograd-gamma/
bigquery-schema-generator,1.5.1,pip install bigquery-schema-generator,2022-12-04,2022,0.1,2018-01-02,2018,https://pypi.org/project/bigquery-schema-generator/
databases,0.7.0,pip install databases,2022-12-18,2022,0.0.1,2019-02-01,2019,https://pypi.org/project/databases/
mkdocstrings,0.22.0,pip install mkdocstrings,2023-05-26,2023,0.1.0,2019-12-12,2019,https://pypi.org/project/mkdocstrings/
tensorflowonspark,2.2.5,pip install tensorflowonspark,2022-04-21,2022,1.0.0,2017-05-22,2017,https://pypi.org/project/tensorflowonspark/
ccard,0.2.0,pip install ccard,2023-03-03,2023,0.1.5,2021-06-18,2021,https://pypi.org/project/ccard/
mypy-boto3-appconfig,1.28.16,pip install mypy-boto3-appconfig,2023-08-01,2023,1.10.33,2019-12-05,2019,https://pypi.org/project/mypy-boto3-appconfig/
smartystreets-python-sdk,4.12.0,pip install smartystreets-python-sdk,2023-07-06,2023,0.0.0,2022-08-01,2022,https://pypi.org/project/smartystreets-python-sdk/
numcodecs,0.11.0,pip install numcodecs,2022-12-15,2022,0.0.0,2016-09-19,2016,https://pypi.org/project/numcodecs/
Lifetimes,0.11.3,pip install Lifetimes,2020-07-06,2020,0.1.1,2015-02-16,2015,https://pypi.org/project/Lifetimes/
pem,23.1.0,pip install pem,2023-06-21,2023,0.1.0,2013-07-18,2013,https://pypi.org/project/pem/
undetected-chromedriver,3.5.2,pip install undetected-chromedriver,2023-08-09,2023,1.3.5,2020-09-03,2020,https://pypi.org/project/undetected-chromedriver/
python-schema-registry-client,2.5.0,pip install python-schema-registry-client,2023-06-26,2023,0.0.1,2019-05-19,2019,https://pypi.org/project/python-schema-registry-client/
SudachiPy,0.6.7,pip install SudachiPy,2023-02-15,2023,0.2.0.1,2019-07-05,2019,https://pypi.org/project/SudachiPy/
PySimpleGUI,4.60.5,pip install PySimpleGUI,2023-05-21,2023,2.7.0,2018-07-31,2018,https://pypi.org/project/PySimpleGUI/
pytest-testinfra,8.1.0,pip install pytest-testinfra,2023-05-21,2023,5.3.2a0,2020-11-01,2020,https://pypi.org/project/pytest-testinfra/
python-novaclient,18.3.0,pip install python-novaclient,2023-02-17,2023,2.6.0,2012-02-10,2012,https://pypi.org/project/python-novaclient/
django-log-request-id,2.1.0,pip install django-log-request-id,2023-01-21,2023,0.0.1,2013-04-14,2013,https://pypi.org/project/django-log-request-id/
business-rules,1.1.1,pip install business-rules,2022-03-18,2022,0.1,2014-05-19,2014,https://pypi.org/project/business-rules/
pandarallel,1.6.5,pip install pandarallel,2023-05-02,2023,0.1.0,2019-03-10,2019,https://pypi.org/project/pandarallel/
ElasticQuery,3.2,pip install ElasticQuery,2018-06-06,2018,0.1.0,2014-02-19,2014,https://pypi.org/project/ElasticQuery/
sphinx-basic-ng,1.0.0b2,pip install sphinx-basic-ng,2023-07-08,2023,0.0.1a1,2021-03-14,2021,https://pypi.org/project/sphinx-basic-ng/
neotime,1.7.4,pip install neotime,2018-12-04,2018,1.0.0a1,2018-04-23,2018,https://pypi.org/project/neotime/
apiclient,1.0.4,pip install apiclient,2019-03-21,2019,1.0,2011-10-04,2011,https://pypi.org/project/apiclient/
iterproxy,0.2.1,pip install iterproxy,2023-01-16,2023,0.1.1,2022-12-26,2022,https://pypi.org/project/iterproxy/
dagit,1.4.7,pip install dagit,2023-08-18,2023,0.0.1,2018-08-10,2018,https://pypi.org/project/dagit/
osc-lib,2.8.0,pip install osc-lib,2023-05-09,2023,0,2016-05-09,2016,https://pypi.org/project/osc-lib/
pybacklogpy,0.12,pip install pybacklogpy,2021-09-18,2021,0.8,2019-07-05,2019,https://pypi.org/project/pybacklogpy/
pyfcm,1.5.4,pip install pyfcm,2021-09-02,2021,0.0.1,2016-06-05,2016,https://pypi.org/project/pyfcm/
pyupgrade,3.10.1,pip install pyupgrade,2023-07-30,2023,0.0.0,2017-03-13,2017,https://pypi.org/project/pyupgrade/
marquez-python,0.40.0,pip install marquez-python,2023-08-15,2023,0.1.0,2019-02-11,2019,https://pypi.org/project/marquez-python/
M2Crypto,0.39.0,pip install M2Crypto,2023-07-04,2023,0.11,2003-06-24,2003,https://pypi.org/project/M2Crypto/
pytest-azurepipelines,1.0.4,pip install pytest-azurepipelines,2022-10-20,2022,0.1.0,2019-01-19,2019,https://pypi.org/project/pytest-azurepipelines/
flake8-tidy-imports,4.10.0,pip install flake8-tidy-imports,2023-07-10,2023,1.0.0,2016-01-23,2016,https://pypi.org/project/flake8-tidy-imports/
jupyter-packaging,0.12.3,pip install jupyter-packaging,2022-08-25,2022,0.1.0,2017-03-09,2017,https://pypi.org/project/jupyter-packaging/
cxxfilt,0.3.0,pip install cxxfilt,2021-08-21,2021,0.1.0,2017-03-12,2017,https://pypi.org/project/cxxfilt/
freeza-offset,1.0.10,pip install freeza-offset,2020-07-10,2020,1.0.1,2020-07-08,2020,https://pypi.org/project/freeza-offset/
kwargs-only,1.1.1,pip install kwargs-only,2019-12-21,2019,1.0.0,2017-06-18,2017,https://pypi.org/project/kwargs-only/
jaconv,0.3.4,pip install jaconv,2023-02-17,2023,0.2.0,2016-04-02,2016,https://pypi.org/project/jaconv/
discord,2.3.2,pip install discord,2023-08-10,2023,0.0.2,2017-08-18,2017,https://pypi.org/project/discord/
anybadge,1.14.0,pip install anybadge,2022-08-24,2022,0.1.0.dev0,2017-09-12,2017,https://pypi.org/project/anybadge/
pyspark-dist-explore,0.1.8,pip install pyspark-dist-explore,2019-08-20,2019,0.1.2,2017-07-17,2017,https://pypi.org/project/pyspark-dist-explore/
causalml,0.14.0,pip install causalml,2023-07-10,2023,0.2.0,2019-08-12,2019,https://pypi.org/project/causalml/
aiodataloader,0.4.0,pip install aiodataloader,2023-02-23,2023,0.1.0,2017-06-12,2017,https://pypi.org/project/aiodataloader/
apache-airflow-providers-salesforce,5.4.1,pip install apache-airflow-providers-salesforce,2023-06-23,2023,1.0.0b1,2020-11-09,2020,https://pypi.org/project/apache-airflow-providers-salesforce/
python-cinderclient,9.3.0,pip install python-cinderclient,2023-02-17,2023,0.1,2012-06-30,2012,https://pypi.org/project/python-cinderclient/
dotty-dict,1.3.1,pip install dotty-dict,2022-07-09,2022,0.1.0,2017-05-03,2017,https://pypi.org/project/dotty-dict/
robotframework-sshlibrary,3.8.0,pip install robotframework-sshlibrary,2021-11-18,2021,1.0,2011-09-26,2011,https://pypi.org/project/robotframework-sshlibrary/
pyfunctional,1.4.3,pip install pyfunctional,2021-01-12,2021,0.6.0,2016-02-17,2016,https://pypi.org/project/pyfunctional/
aws-cdk.aws-cloudformation,1.204.0,pip install aws-cdk.aws-cloudformation,2023-06-19,2023,0.26.0,2019-03-28,2019,https://pypi.org/project/aws-cdk.aws-cloudformation/
pyminizip,0.2.6,pip install pyminizip,2021-12-21,2021,0.0.1,2013-04-16,2013,https://pypi.org/project/pyminizip/
pickle5,0.0.12,pip install pickle5,2021-11-20,2021,0.0.1,2018-05-23,2018,https://pypi.org/project/pickle5/
pycld3,0.22,pip install pycld3,2021-03-09,2021,0.3,2019-10-05,2019,https://pypi.org/project/pycld3/
web.py,0.62,pip install web.py,2020-11-09,2020,0.2,2006-12-09,2006,https://pypi.org/project/web.py/
types-pyserial,3.5.0.9,pip install types-pyserial,2023-07-20,2023,3.5.0.0,2022-12-22,2022,https://pypi.org/project/types-pyserial/
apache-airflow-providers-docker,3.7.3,pip install apache-airflow-providers-docker,2023-08-14,2023,1.0.0b1,2020-11-09,2020,https://pypi.org/project/apache-airflow-providers-docker/
mkdocstrings-python,1.5.0,pip install mkdocstrings-python,2023-08-20,2023,0.1.0,2021-12-18,2021,https://pypi.org/project/mkdocstrings-python/
rule-engine,4.1.0,pip install rule-engine,2023-08-03,2023,0.9.0,2018-05-16,2018,https://pypi.org/project/rule-engine/
pytube,15.0.0,pip install pytube,2023-05-07,2023,0.2.0,2014-09-28,2014,https://pypi.org/project/pytube/
rfc3339,6.2,pip install rfc3339,2019-09-24,2019,3,2010-08-31,2010,https://pypi.org/project/rfc3339/
clang-format,16.0.6,pip install clang-format,2023-06-14,2023,6.0.1,2019-11-04,2019,https://pypi.org/project/clang-format/
simple-ddl-parser,0.30.0,pip install simple-ddl-parser,2023-03-29,2023,0.1.0a0,2021-03-06,2021,https://pypi.org/project/simple-ddl-parser/
aws-cdk.aws-certificatemanager,1.204.0,pip install aws-cdk.aws-certificatemanager,2023-06-19,2023,0.26.0,2019-03-28,2019,https://pypi.org/project/aws-cdk.aws-certificatemanager/
PyKMIP,0.10.0,pip install PyKMIP,2020-02-25,2020,0.0.1,2014-08-13,2014,https://pypi.org/project/PyKMIP/
pip-requirements-parser,32.0.1,pip install pip-requirements-parser,2022-12-21,2022,30.0.0,2022-01-27,2022,https://pypi.org/project/pip-requirements-parser/
django-prometheus,2.3.1,pip install django-prometheus,2023-05-02,2023,0.0.1,2015-04-05,2015,https://pypi.org/project/django-prometheus/
zenpy,2.0.30,pip install zenpy,2023-08-18,2023,0.0.5,2015-08-30,2015,https://pypi.org/project/zenpy/
sqlmodel,0.0.8,pip install sqlmodel,2022-08-30,2022,0.0.1,2021-08-24,2021,https://pypi.org/project/sqlmodel/
webapp2,2.5.2,pip install webapp2,2012-09-28,2012,0.1,2010-08-03,2010,https://pypi.org/project/webapp2/
pyglove,0.4.2,pip install pyglove,2023-07-28,2023,0.1.0.dev20220830,2022-08-31,2022,https://pypi.org/project/pyglove/
django-ckeditor,6.7.0,pip install django-ckeditor,2023-07-27,2023,0.0.1,2010-05-29,2010,https://pypi.org/project/django-ckeditor/
kopf,1.36.2,pip install kopf,2023-07-27,2023,0.5,2019-03-27,2019,https://pypi.org/project/kopf/
testscenarios,0.5.0,pip install testscenarios,2015-05-04,2015,0.1,2009-12-22,2009,https://pypi.org/project/testscenarios/
awslambdaric,2.0.5,pip install awslambdaric,2023-08-16,2023,1.0.0,2020-12-01,2020,https://pypi.org/project/awslambdaric/
django-waffle,4.0.0,pip install django-waffle,2023-07-26,2023,0.1.0,2011-01-23,2011,https://pypi.org/project/django-waffle/
tinysegmenter,0.4,pip install tinysegmenter,2018-09-16,2018,0.1,2012-07-25,2012,https://pypi.org/project/tinysegmenter/
html-text,0.5.2,pip install html-text,2020-07-22,2020,0.1.0,2016-09-27,2016,https://pypi.org/project/html-text/
prometheus-fastapi-instrumentator,6.1.0,pip install prometheus-fastapi-instrumentator,2023-07-15,2023,1.1.0,2020-07-16,2020,https://pypi.org/project/prometheus-fastapi-instrumentator/
yoyo-migrations,8.2.0,pip install yoyo-migrations,2022-12-14,2022,1,2010-02-22,2010,https://pypi.org/project/yoyo-migrations/
autosemver,1.0.0,pip install autosemver,2020-11-13,2020,0.0.0,2016-10-08,2016,https://pypi.org/project/autosemver/
aiosmtplib,2.0.2,pip install aiosmtplib,2023-06-03,2023,0.1,2016-04-19,2016,https://pypi.org/project/aiosmtplib/
jsonconversion,0.2.13,pip install jsonconversion,2021-11-03,2021,0.2.2,2017-04-04,2017,https://pypi.org/project/jsonconversion/
retry2,0.9.5,pip install retry2,2023-01-11,2023,0.9.3,2021-07-26,2021,https://pypi.org/project/retry2/
inquirerpy,0.3.4,pip install inquirerpy,2022-06-27,2022,0.0.1,2020-12-31,2020,https://pypi.org/project/inquirerpy/
cloudinary,1.34.0,pip install cloudinary,2023-08-14,2023,0.2.1,2012-07-08,2012,https://pypi.org/project/cloudinary/
google-cloud-common,1.2.0,pip install google-cloud-common,2023-01-10,2023,0.1.0,2021-10-01,2021,https://pypi.org/project/google-cloud-common/
executor,23.2,pip install executor,2020-11-19,2020,1.0,2014-05-04,2014,https://pypi.org/project/executor/
starlette-exporter,0.16.0,pip install starlette-exporter,2023-05-05,2023,0.1.0,2019-10-28,2019,https://pypi.org/project/starlette-exporter/
wasmer,1.1.0,pip install wasmer,2022-01-07,2022,0.1.3,2019-04-11,2019,https://pypi.org/project/wasmer/
pfzy,0.3.4,pip install pfzy,2022-01-28,2022,0.1.0,2021-08-19,2021,https://pypi.org/project/pfzy/
datasketches,4.1.0,pip install datasketches,2023-05-03,2023,3.2.0,2021-09-22,2021,https://pypi.org/project/datasketches/
google-python-cloud-debugger,4.1,pip install google-python-cloud-debugger,2023-06-06,2023,1.0,2015-10-29,2015,https://pypi.org/project/google-python-cloud-debugger/
keras-nightly,2.15.0.dev2023082107,pip install keras-nightly,2023-08-21,2023,2.5.0.dev2021020510,2021-02-05,2021,https://pypi.org/project/keras-nightly/
cloudscraper,1.2.71,pip install cloudscraper,2023-04-25,2023,1.1.13,2019-05-31,2019,https://pypi.org/project/cloudscraper/
apache-airflow-providers-jdbc,4.0.1,pip install apache-airflow-providers-jdbc,2023-08-01,2023,1.0.0b1,2020-11-09,2020,https://pypi.org/project/apache-airflow-providers-jdbc/
google-cloud-filestore,1.6.1,pip install google-cloud-filestore,2023-07-05,2023,0.1.0,2021-10-02,2021,https://pypi.org/project/google-cloud-filestore/
ibm-db,3.1.4,pip install ibm-db,2022-11-22,2022,0.1.0,2007-11-15,2007,https://pypi.org/project/ibm-db/
ShopifyAPI,12.3.0,pip install ShopifyAPI,2023-04-12,2023,0.1.0,2011-08-23,2011,https://pypi.org/project/ShopifyAPI/
flask-oidc,2.0.0,pip install flask-oidc,2023-08-21,2023,0.1.0,2014-07-31,2014,https://pypi.org/project/flask-oidc/
pylint-celery,0.3,pip install pylint-celery,2014-09-25,2014,0.1,2013-10-25,2013,https://pypi.org/project/pylint-celery/
flask-apispec,0.11.4,pip install flask-apispec,2022-08-11,2022,0.1.3,2015-11-01,2015,https://pypi.org/project/flask-apispec/
aws-cdk.aws-route53,1.204.0,pip install aws-cdk.aws-route53,2023-06-19,2023,0.26.0,2019-03-28,2019,https://pypi.org/project/aws-cdk.aws-route53/
